code,name,board,start_date,end_date,deal_date,price_range,money,luck,price,pe,recommend,blueshoe,可比公司,超购倍数,募资总额,dark_rise,rise,cul_rise,security
1735,泓盈控股,主板,03-19(周一),03-22(周四),03-29(周四),1.5,3000,50.01%,1.5,14.7,不建议,-,永勤集团,743.86,0.99,36.00%,0.67%,-,德健融资
8372,君百延,创业板,03-19(周一),03-22(周四),03-29(周四),0.3-0.35,3500,35.06%,0.335,20-23,不建议,-,永胜医疗,253,0.57,32.80%,19.40%,-,国泰君安
2116,江苏创新,主板,03-19(周一),03-22(周四),03-28(周三),1-1.25,2500,40.00%,1.25,11.60-14.5,不建议,-,天洁环境,226.42,1.5,2.40%,-2.40%,-,东方融资
1716,毛记葵涌,主板,03-16(周五),03-21(周三),03-28(周三),1-1.2,2400,0.80%,1.2,7.5-8.96,建议申购,-,电视广播,6289,0.81,575.00%,431.67%,-,长雄证券
8401,源想集团,创业板,03-16(周五),03-21(周三),03-28(周三),1-1.3,2600,30.01%,1.05,16-21,建议申购,-,电视广播,204.74,0.525,13.33%,-15.24%,-,智富融资
2779,新华教育,主板,03-14(周三),03-19(周一),03-26(周一),2.83-3.69,3690,70.00%,3.26,21-27,不建议,50.00%,中教控股,31.77,13.04,-6.44%,0.00%,-,麦格理
8448,环球印馆,创业板,03-13(周二),03-16(周五),03-28(周三),0.2-0.24,4800,30.00%,0.23,52-63,不建议,-,钜京控股,307.6,0.52,60.87%,-0.43%,-,BALLAS
8168,宝积资本,创业板,03-08(周四),03-13(周二),03-22(周四),0.2-0.32,3200,100.00%,0.24,27-44,不建议,-,云锋金融,95.88,0.6,33.33%,12.50%,-,新百利
2377,博奇环保,主板,02-28(周三),03-09(周五),03-16(周五),2.4-3.6,3600,80.00%,2.4,12.9-19.35,不建议,-,国电科环,4.6,9.08,3.33%,-0.83%,-,招银国际
2363,通达宏泰,主板,02-28(周三),03-05(周一),03-16(周五),2.3,5750,20.00%,2.3,18,不建议,-,富智康,275.3,0.87,7.00%,4.35%,-,大有融资
6036,光丽科技,主板,02-28(周三),03-05(周一),03-16(周五),0.4-0.58,2900,30.18%,0.5,10-14.6,尚可申购,-,致丰工业,259,1.25,50.00%,80.00%,-,丰盛融资
1737,亚洲实业,主板,02-28(周三),03-05(周一),03-14(周三),0.3-0.5,5000,38.01%,0.48,6.52-10.86,不建议,-,先达国际,79.96,1.2,10.00%,10.42%,-,富比资本
1815,金猫银猫,主板,02-28(周三),03-05(周一),03-13(周二),2.28-3.28,3280,70.01%,2.38,38.6-56,不建议,6.90%,周大福,5.6,4.62,3.80%,0.42%,-,招商证券
1705,宾仕国际,主板,02-26(周一),03-06(周二),03-14(周三),0.8-1,4000,3.01%,1,11.32-14.15,不建议,-,鸿福堂,2600,1,127.00%,298.00%,-,力高企业
1621,域高国际,主板,02-15(周四),02-26(周一),03-05(周一),0.3-0.5,4000,35.00%,0.35,14.28-23.8,不建议,-,新海能源,46.18,0.85,24.29%,10.00%,-,新华汇富
8483,名仕快相,创业板,02-15(周四),02-22(周四),02-28(周三),0.3-0.35,2800,100.00%,0.31,40-47,不建议,-,AV策略,34,0.62,12.90%,16.13%,-,南华金融
2182,天长集团,主板,02-14(周三),02-28(周三),03-08(周四),0.65-0.75,3000,30.05%,0.71,11.8-13.6,不建议,-,东江集团,577.7,1.09,29.60%,2.82%,-,创升融资
1933,元力控股,主板,02-12(周一),02-15(周四),03-02(周五),0.72-0.96,3840,3.01%,0.95,12.2-16.3,不建议,-,瑞斯康,258.64,0.91,40.00%,61.05%,-,络绎资本
8526,荣丰集团,创业板,02-12(周一),02-15(周四),02-27(周二),0.38-0.42,4200,80.01%,0.38,14-15.6,不建议,-,潪?发展,23.7,0.55,17.11%,2.63%,-,天财资本
8367,倩碧控股,创业板,02-06(周二),02-09(周五),02-26(周一),0.27-0.33,3300,40.08%,0.275,29-36,不建议,-,尝高美,13.79,0.55,49.00%,0.00%,-,域高融资
1183,澳能建设,主板,02-01(周四),02-06(周二),02-13(周二),1-1.25,2500,60.02%,1.25,18-22.7,不建议,30.00%,濠亮环球,160.8,3.75,-12.80%,9.60%,-,创升融资
8532,宝发控股,创业板,01-31(周三),02-05(周一),02-23(周五),0.25-0.35,2800,70.01%,0.28,27.85-39,不建议,-,双运控股,24.33,0.56,37.50%,46.43%,-,耀盛资本
8040,DCB控股,创业板,01-31(周三),02-05(周一),02-14(周三),0.625-0.875,4375,50.01%,0.75,14.8-20.7,不建议,-,礼建德,31.93,0.6,6.67%,2.67%,-,铠盛资本
8510,Top Standard,创业板,01-31(周三),02-05(周一),02-13(周二),0.35-0.4,3200,100.00%,0.35,38-43,不建议,-,尝高美,16.11,0.7,-2.86%,-5.71%,-,创侨国际
8523,常满控股,创业板,01-31(周三),02-05(周一),02-12(周一),0.4-0.5,2500,60.00%,0.5,16.42-20.5,不建议,-,东盈控股,3.27,0.5,-20.00%,-20.00%,-,络绎资本
8535,萤德控股,创业板,01-31(周三),02-05(周一),02-12(周一),0.17-0.23,4600,20.04%,0.17,13.6-18.4,不建议,-,顺兴集团,33.8,0.51,-10.59%,-20.00%,-,新华汇富
8379,汇安智能,创业板,01-30(周二),02-02(周五),02-14(周三),0.27-0.35,3500,40.00%,0.35,16.46-21.34,建议申购,-,艾伯科技,93.69,0.7,28.57%,2.86%,-,丰盛融资
1729,汇聚科技,主板,01-30(周二),02-02(周五),02-13(周二),0.25-0.5,4000,60.01%,0.5,5.7-11.36,不建议,-,ATLINKS,268.4,2.3,-13.00%,-15.00%,-,富比资本
